League;Date;Get;Pay;Value;Confidence
Legion;2019-07-13;Orb of Alchemy;Chaos Orb;0.63615;High
Legion;2019-07-14;Orb of Alchemy;Chaos Orb;0.625;High
Legion;2019-07-15;Orb of Alchemy;Chaos Orb;0.60706;High
Legion;2019-07-16;Orb of Alchemy;Chaos Orb;0.6;High
Legion;2019-07-17;Orb of Alchemy;Chaos Orb;0.59538;High
Legion;2019-07-18;Orb of Alchemy;Chaos Orb;0.58824;High
Legion;2019-07-19;Orb of Alchemy;Chaos Orb;0.57803;High
Legion;2019-07-20;Orb of Alchemy;Chaos Orb;0.57143;High
Legion;2019-07-21;Orb of Alchemy;Chaos Orb;0.56387;High
Legion;2019-07-22;Orb of Alchemy;Chaos Orb;0.52632;High
Legion;2019-07-23;Orb of Alchemy;Chaos Orb;0.5;High
Legion;2019-07-24;Orb of Alchemy;Chaos Orb;0.48276;High
Legion;2019-07-25;Orb of Alchemy;Chaos Orb;0.47619;High
Legion;2019-07-26;Orb of Alchemy;Chaos Orb;0.46512;High
Legion;2019-07-27;Orb of Alchemy;Chaos Orb;0.43478;High
Legion;2019-07-28;Orb of Alchemy;Chaos Orb;0.42244;High
Legion;2019-07-29;Orb of Alchemy;Chaos Orb;0.41667;High
Legion;2019-07-30;Orb of Alchemy;Chaos Orb;0.38462;High
Legion;2019-07-31;Orb of Alchemy;Chaos Orb;0.37037;High
Legion;2019-08-01;Orb of Alchemy;Chaos Orb;0.35064;High
Legion;2019-08-02;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-03;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-04;Orb of Alchemy;Chaos Orb;0.32258;High
Legion;2019-08-05;Orb of Alchemy;Chaos Orb;0.31456;High
Legion;2019-08-06;Orb of Alchemy;Chaos Orb;0.30268;High
Legion;2019-08-07;Orb of Alchemy;Chaos Orb;0.31347;High
Legion;2019-08-08;Orb of Alchemy;Chaos Orb;0.31721;High
Legion;2019-08-09;Orb of Alchemy;Chaos Orb;0.31367;High
Legion;2019-08-10;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-11;Orb of Alchemy;Chaos Orb;0.34483;High
Legion;2019-08-12;Orb of Alchemy;Chaos Orb;0.41538;High
Legion;2019-08-13;Orb of Alchemy;Chaos Orb;0.4213;High
Legion;2019-08-14;Orb of Alchemy;Chaos Orb;0.4;High
Legion;2019-08-15;Orb of Alchemy;Chaos Orb;0.38462;High
Legion;2019-08-16;Orb of Alchemy;Chaos Orb;0.35714;High
Legion;2019-08-17;Orb of Alchemy;Chaos Orb;0.34869;High
Legion;2019-08-18;Orb of Alchemy;Chaos Orb;0.34483;High
Legion;2019-08-19;Orb of Alchemy;Chaos Orb;0.33487;High
Legion;2019-08-20;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-21;Orb of Alchemy;Chaos Orb;0.32775;High
Legion;2019-08-22;Orb of Alchemy;Chaos Orb;0.32669;High
Legion;2019-08-23;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-24;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-25;Orb of Alchemy;Chaos Orb;0.33002;High
Legion;2019-08-26;Orb of Alchemy;Chaos Orb;0.3226;High
Legion;2019-08-27;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-08-28;Orb of Alchemy;Chaos Orb;0.33;High
Legion;2019-08-29;Orb of Alchemy;Chaos Orb;0.32801;High
Legion;2019-08-30;Orb of Alchemy;Chaos Orb;0.32681;High
Legion;2019-08-31;Orb of Alchemy;Chaos Orb;0.31341;High
Legion;2019-09-01;Orb of Alchemy;Chaos Orb;0.32396;High
Legion;2019-09-02;Orb of Alchemy;Chaos Orb;0.31387;High
Legion;2019-06-07;Armourer's Scrap;Chaos Orb;0.44042;High
Legion;2019-06-08;Armourer's Scrap;Chaos Orb;0.11948;High
Legion;2019-06-09;Armourer's Scrap;Chaos Orb;0.08333;High
Legion;2019-06-10;Armourer's Scrap;Chaos Orb;0.07918;High
Legion;2019-06-11;Armourer's Scrap;Chaos Orb;0.08333;High
Legion;2019-06-12;Armourer's Scrap;Chaos Orb;0.07143;High
Legion;2019-06-13;Armourer's Scrap;Chaos Orb;0.0707;High
Legion;2019-06-14;Armourer's Scrap;Chaos Orb;0.06843;High
Legion;2019-06-15;Armourer's Scrap;Chaos Orb;0.07043;High
Legion;2019-06-16;Armourer's Scrap;Chaos Orb;0.07139;High
Legion;2019-06-17;Armourer's Scrap;Chaos Orb;0.07551;High
Legion;2019-06-18;Armourer's Scrap;Chaos Orb;0.07143;High
Legion;2019-06-19;Armourer's Scrap;Chaos Orb;0.07253;High
Legion;2019-06-20;Armourer's Scrap;Chaos Orb;0.07295;High
Legion;2019-06-21;Armourer's Scrap;Chaos Orb;0.07692;High
Legion;2019-06-22;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-23;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-24;Armourer's Scrap;Chaos Orb;0.06609;High
Legion;2019-06-25;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-26;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-27;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-28;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-29;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-06-30;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-01;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-02;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-03;Armourer's Scrap;Chaos Orb;0.06644;High
Legion;2019-07-04;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-05;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-06;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-07;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-08;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-09;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-10;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-11;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-12;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-13;Armourer's Scrap;Chaos Orb;0.0665;High
Legion;2019-07-14;Armourer's Scrap;Chaos Orb;0.06387;High
Legion;2019-07-15;Armourer's Scrap;Chaos Orb;0.06432;High
Legion;2019-07-16;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-17;Armourer's Scrap;Chaos Orb;0.06602;High
Legion;2019-07-18;Armourer's Scrap;Chaos Orb;0.06599;High
Legion;2019-07-19;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-20;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-21;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-22;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-23;Armourer's Scrap;Chaos Orb;0.06329;High
Legion;2019-07-24;Armourer's Scrap;Chaos Orb;0.06354;High
Legion;2019-07-25;Armourer's Scrap;Chaos Orb;0.0625;High
Legion;2019-07-26;Armourer's Scrap;Chaos Orb;0.066;High
Legion;2019-07-27;Armourer's Scrap;Chaos Orb;0.06209;High
Legion;2019-07-28;Armourer's Scrap;Chaos Orb;0.06667;High
Legion;2019-07-29;Armourer's Scrap;Chaos Orb;0.05571;High
Legion;2019-07-30;Armourer's Scrap;Chaos Orb;0.05882;High
Legion;2019-07-31;Armourer's Scrap;Chaos Orb;0.06139;High
Legion;2019-08-01;Armourer's Scrap;Chaos Orb;0.0625;High
Legion;2019-08-02;Armourer's Scrap;Chaos Orb;0.05882;High
Legion;2019-08-03;Armourer's Scrap;Chaos Orb;0.06517;High
Legion;2019-08-04;Armourer's Scrap;Chaos Orb;0.06551;High
Legion;2019-08-05;Armourer's Scrap;Chaos Orb;0.05882;High
Legion;2019-08-06;Armourer's Scrap;Chaos Orb;0.06153;High
Legion;2019-08-07;Armourer's Scrap;Chaos Orb;0.0625;High
Legion;2019-08-08;Armourer's Scrap;Chaos Orb;0.06309;High
Legion;2019-08-09;Armourer's Scrap;Chaos Orb;0.05808;High
Legion;2019-08-10;Armourer's Scrap;Chaos Orb;0.0589;High
Legion;2019-08-11;Armourer's Scrap;Chaos Orb;0.06015;High
Legion;2019-08-12;Armourer's Scrap;Chaos Orb;0.05636;High
Legion;2019-08-13;Armourer's Scrap;Chaos Orb;0.05313;High
Legion;2019-08-14;Armourer's Scrap;Chaos Orb;0.05525;High
Legion;2019-08-15;Armourer's Scrap;Chaos Orb;0.05139;High
Legion;2019-08-16;Armourer's Scrap;Chaos Orb;0.05263;High
Legion;2019-08-17;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-18;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-19;Armourer's Scrap;Chaos Orb;0.05149;High
Legion;2019-08-20;Armourer's Scrap;Chaos Orb;0.05147;High
Legion;2019-08-21;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-22;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-23;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-24;Armourer's Scrap;Chaos Orb;0.05228;High
Legion;2019-08-25;Armourer's Scrap;Chaos Orb;0.05226;High
Legion;2019-08-26;Armourer's Scrap;Chaos Orb;0.05179;High
Legion;2019-08-27;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-28;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-29;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-30;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-08-31;Armourer's Scrap;Chaos Orb;0.05;High
Legion;2019-09-01;Armourer's Scrap;Chaos Orb;0.04971;High
Legion;2019-09-02;Armourer's Scrap;Chaos Orb;0.04865;High
Legion;2019-06-07;Orb of Fusing;Chaos Orb;0.26515;High
Legion;2019-06-08;Orb of Fusing;Chaos Orb;0.16667;High
Legion;2019-06-09;Orb of Fusing;Chaos Orb;0.28571;High
Legion;2019-06-10;Orb of Fusing;Chaos Orb;0.40005;High
Legion;2019-06-11;Orb of Fusing;Chaos Orb;0.47337;High
Legion;2019-06-12;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-06-13;Orb of Fusing;Chaos Orb;0.51282;High
Legion;2019-06-14;Orb of Fusing;Chaos Orb;0.55556;High
Legion;2019-06-15;Orb of Fusing;Chaos Orb;0.56921;High
Legion;2019-06-16;Orb of Fusing;Chaos Orb;0.55556;High
Legion;2019-06-17;Orb of Fusing;Chaos Orb;0.58715;High
Legion;2019-06-18;Orb of Fusing;Chaos Orb;0.625;High
Legion;2019-06-19;Orb of Fusing;Chaos Orb;0.66667;High
Legion;2019-06-20;Orb of Fusing;Chaos Orb;0.66667;High
Legion;2019-06-21;Orb of Fusing;Chaos Orb;0.66667;High
Legion;2019-06-22;Orb of Fusing;Chaos Orb;0.65175;High
Legion;2019-06-23;Orb of Fusing;Chaos Orb;0.64799;High
Legion;2019-06-24;Orb of Fusing;Chaos Orb;0.66667;High
Legion;2019-06-25;Orb of Fusing;Chaos Orb;0.67179;High
Legion;2019-06-26;Orb of Fusing;Chaos Orb;0.71257;High
Legion;2019-06-27;Orb of Fusing;Chaos Orb;0.71429;High
Legion;2019-06-28;Orb of Fusing;Chaos Orb;0.73266;High
Legion;2019-06-29;Orb of Fusing;Chaos Orb;0.73088;High
Legion;2019-06-30;Orb of Fusing;Chaos Orb;0.73556;High
Legion;2019-07-01;Orb of Fusing;Chaos Orb;0.715;High
Legion;2019-07-02;Orb of Fusing;Chaos Orb;0.69444;High
Legion;2019-07-03;Orb of Fusing;Chaos Orb;0.66667;High
Legion;2019-07-04;Orb of Fusing;Chaos Orb;0.64935;High
Legion;2019-07-05;Orb of Fusing;Chaos Orb;0.63333;High
Legion;2019-07-06;Orb of Fusing;Chaos Orb;0.62384;High
Legion;2019-07-07;Orb of Fusing;Chaos Orb;0.61364;High
Legion;2019-07-08;Orb of Fusing;Chaos Orb;0.61064;High
Legion;2019-07-09;Orb of Fusing;Chaos Orb;0.60593;High
Legion;2019-07-10;Orb of Fusing;Chaos Orb;0.60797;High
Legion;2019-07-11;Orb of Fusing;Chaos Orb;0.6088;High
Legion;2019-07-12;Orb of Fusing;Chaos Orb;0.60606;High
Legion;2019-07-13;Orb of Fusing;Chaos Orb;0.60606;High
Legion;2019-07-14;Orb of Fusing;Chaos Orb;0.6;High
Legion;2019-07-15;Orb of Fusing;Chaos Orb;0.58824;High
Legion;2019-07-16;Orb of Fusing;Chaos Orb;0.5618;High
Legion;2019-07-17;Orb of Fusing;Chaos Orb;0.52632;High
Legion;2019-07-18;Orb of Fusing;Chaos Orb;0.50877;High
Legion;2019-07-19;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-07-20;Orb of Fusing;Chaos Orb;0.49751;High
Legion;2019-07-21;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-07-22;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-07-23;Orb of Fusing;Chaos Orb;0.49505;High
Legion;2019-07-24;Orb of Fusing;Chaos Orb;0.49243;High
Legion;2019-07-25;Orb of Fusing;Chaos Orb;0.4878;High
Legion;2019-07-26;Orb of Fusing;Chaos Orb;0.49034;High
Legion;2019-07-27;Orb of Fusing;Chaos Orb;0.4902;High
Legion;2019-07-28;Orb of Fusing;Chaos Orb;0.4878;High
Legion;2019-07-29;Orb of Fusing;Chaos Orb;0.48544;High
Legion;2019-07-30;Orb of Fusing;Chaos Orb;0.4827;High
Legion;2019-07-31;Orb of Fusing;Chaos Orb;0.48077;High
Legion;2019-08-01;Orb of Fusing;Chaos Orb;0.48077;High
Legion;2019-08-02;Orb of Fusing;Chaos Orb;0.47619;High
Legion;2019-08-03;Orb of Fusing;Chaos Orb;0.47797;High
Legion;2019-08-04;Orb of Fusing;Chaos Orb;0.48282;High
Legion;2019-08-05;Orb of Fusing;Chaos Orb;0.48077;High
Legion;2019-08-06;Orb of Fusing;Chaos Orb;0.47619;High
Legion;2019-08-07;Orb of Fusing;Chaos Orb;0.47619;High
Legion;2019-08-08;Orb of Fusing;Chaos Orb;0.4872;High
Legion;2019-08-09;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-10;Orb of Fusing;Chaos Orb;0.51829;High
Legion;2019-08-11;Orb of Fusing;Chaos Orb;0.55556;High
Legion;2019-08-12;Orb of Fusing;Chaos Orb;0.55556;High
Legion;2019-08-13;Orb of Fusing;Chaos Orb;0.55556;High
Legion;2019-08-14;Orb of Fusing;Chaos Orb;0.52906;High
Legion;2019-08-15;Orb of Fusing;Chaos Orb;0.52632;High
Legion;2019-08-16;Orb of Fusing;Chaos Orb;0.52632;High
Legion;2019-08-17;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-18;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-19;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-20;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-21;Orb of Fusing;Chaos Orb;0.50251;High
Legion;2019-08-22;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-23;Orb of Fusing;Chaos Orb;0.51282;High
Legion;2019-08-24;Orb of Fusing;Chaos Orb;0.51282;High
Legion;2019-08-25;Orb of Fusing;Chaos Orb;0.50916;High
Legion;2019-08-26;Orb of Fusing;Chaos Orb;0.5;High
Legion;2019-08-27;Orb of Fusing;Chaos Orb;0.50412;High
Legion;2019-08-28;Orb of Fusing;Chaos Orb;0.52083;High
Legion;2019-08-29;Orb of Fusing;Chaos Orb;0.51839;High
Legion;2019-08-30;Orb of Fusing;Chaos Orb;0.51541;High
Legion;2019-08-31;Orb of Fusing;Chaos Orb;0.52979;High
Legion;2019-09-01;Orb of Fusing;Chaos Orb;0.52632;High
Legion;2019-09-02;Orb of Fusing;Chaos Orb;0.52632;High
Legion;2019-06-07;Orb of Scouring;Chaos Orb;0.92928;High
Legion;2019-06-08;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-09;Orb of Scouring;Chaos Orb;0.25066;High
Legion;2019-06-10;Orb of Scouring;Chaos Orb;0.32864;High
Legion;2019-06-11;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-12;Orb of Scouring;Chaos Orb;0.31311;High
Legion;2019-06-13;Orb of Scouring;Chaos Orb;0.30078;High
Legion;2019-06-14;Orb of Scouring;Chaos Orb;0.3;High
Legion;2019-06-15;Orb of Scouring;Chaos Orb;0.26864;High
Legion;2019-06-16;Orb of Scouring;Chaos Orb;0.25442;High
Legion;2019-06-17;Orb of Scouring;Chaos Orb;0.26667;High
Legion;2019-06-18;Orb of Scouring;Chaos Orb;0.29089;High
Legion;2019-06-19;Orb of Scouring;Chaos Orb;0.33085;High
Legion;2019-06-20;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-21;Orb of Scouring;Chaos Orb;0.35065;High
Legion;2019-06-22;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-23;Orb of Scouring;Chaos Orb;0.32893;High
Legion;2019-06-24;Orb of Scouring;Chaos Orb;0.32667;High
Legion;2019-06-25;Orb of Scouring;Chaos Orb;0.32782;High
Legion;2019-06-26;Orb of Scouring;Chaos Orb;0.32611;High
Legion;2019-06-27;Orb of Scouring;Chaos Orb;0.32844;High
Legion;2019-06-28;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-29;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-06-30;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-07-01;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-07-02;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-07-03;Orb of Scouring;Chaos Orb;0.33333;High
Legion;2019-07-04;Orb of Scouring;Chaos Orb;0.33077;High
Legion;2019-07-05;Orb of Scouring;Chaos Orb;0.33097;High
Legion;2019-07-06;Orb of Scouring;Chaos Orb;0.32283;High
Legion;2019-07-07;Orb of Scouring;Chaos Orb;0.31315;High
Legion;2019-07-08;Orb of Scouring;Chaos Orb;0.31834;High
Legion;2019-07-09;Orb of Scouring;Chaos Orb;0.32258;High
Legion;2019-07-10;Orb of Scouring;Chaos Orb;0.3328;High
Legion;2019-07-11;Orb of Scouring;Chaos Orb;0.34335;High
Legion;2019-07-12;Orb of Scouring;Chaos Orb;0.35126;High
Legion;2019-07-13;Orb of Scouring;Chaos Orb;0.36664;High
Legion;2019-07-14;Orb of Scouring;Chaos Orb;0.40835;High
Legion;2019-07-15;Orb of Scouring;Chaos Orb;0.39978;High
Legion;2019-07-16;Orb of Scouring;Chaos Orb;0.38074;High
Legion;2019-07-17;Orb of Scouring;Chaos Orb;0.3691;High
Legion;2019-07-18;Orb of Scouring;Chaos Orb;0.37037;High
Legion;2019-07-19;Orb of Scouring;Chaos Orb;0.35817;High
Legion;2019-07-20;Orb of Scouring;Chaos Orb;0.36667;High
Legion;2019-07-21;Orb of Scouring;Chaos Orb;0.35714;High
Legion;2019-07-22;Orb of Scouring;Chaos Orb;0.34954;High
Legion;2019-07-23;Orb of Scouring;Chaos Orb;0.34773;High
Legion;2019-07-24;Orb of Scouring;Chaos Orb;0.34066;High
Legion;2019-07-25;Orb of Scouring;Chaos Orb;0.34667;High
Legion;2019-07-26;Orb of Scouring;Chaos Orb;0.35714;High
Legion;2019-07-27;Orb of Scouring;Chaos Orb;0.35714;High
Legion;2019-07-28;Orb of Scouring;Chaos Orb;0.36848;High
Legion;2019-07-29;Orb of Scouring;Chaos Orb;0.37515;High
Legion;2019-07-30;Orb of Scouring;Chaos Orb;0.42084;High
Legion;2019-07-31;Orb of Scouring;Chaos Orb;0.44697;High
Legion;2019-08-01;Orb of Scouring;Chaos Orb;0.44591;High
Legion;2019-08-02;Orb of Scouring;Chaos Orb;0.44444;High
Legion;2019-08-03;Orb of Scouring;Chaos Orb;0.45;High
Legion;2019-08-04;Orb of Scouring;Chaos Orb;0.45455;High
Legion;2019-08-05;Orb of Scouring;Chaos Orb;0.43325;High
Legion;2019-08-06;Orb of Scouring;Chaos Orb;0.43409;High
Legion;2019-08-07;Orb of Scouring;Chaos Orb;0.45387;High
Legion;2019-08-08;Orb of Scouring;Chaos Orb;0.4878;High
Legion;2019-08-09;Orb of Scouring;Chaos Orb;0.52632;High
Legion;2019-08-10;Orb of Scouring;Chaos Orb;0.56415;High
Legion;2019-08-11;Orb of Scouring;Chaos Orb;0.57143;High
Legion;2019-08-12;Orb of Scouring;Chaos Orb;0.57065;High
Legion;2019-08-13;Orb of Scouring;Chaos Orb;0.57941;High
Legion;2019-08-14;Orb of Scouring;Chaos Orb;0.55556;High
Legion;2019-08-15;Orb of Scouring;Chaos Orb;0.55044;High
Legion;2019-08-16;Orb of Scouring;Chaos Orb;0.54945;High
Legion;2019-08-17;Orb of Scouring;Chaos Orb;0.52632;High
Legion;2019-08-18;Orb of Scouring;Chaos Orb;0.51376;High
Legion;2019-08-19;Orb of Scouring;Chaos Orb;0.49795;High
Legion;2019-08-20;Orb of Scouring;Chaos Orb;0.4878;High
Legion;2019-08-21;Orb of Scouring;Chaos Orb;0.496;High
Legion;2019-08-22;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-08-23;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-08-24;Orb of Scouring;Chaos Orb;0.495;High
Legion;2019-08-25;Orb of Scouring;Chaos Orb;0.49924;High
Legion;2019-08-26;Orb of Scouring;Chaos Orb;0.49815;High
Legion;2019-08-27;Orb of Scouring;Chaos Orb;0.49571;High
Legion;2019-08-28;Orb of Scouring;Chaos Orb;0.49807;High
Legion;2019-08-29;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-08-30;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-08-31;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-09-01;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-09-02;Orb of Scouring;Chaos Orb;0.5;High
Legion;2019-06-07;Orb of Alteration;Chaos Orb;0.14063;High
Legion;2019-06-08;Orb of Alteration;Chaos Orb;0.05707;High
Legion;2019-06-09;Orb of Alteration;Chaos Orb;0.05556;High
Legion;2019-06-10;Orb of Alteration;Chaos Orb;0.07631;High
Legion;2019-06-11;Orb of Alteration;Chaos Orb;0.07692;High
Legion;2019-06-12;Orb of Alteration;Chaos Orb;0.07692;High
Legion;2019-06-13;Orb of Alteration;Chaos Orb;0.07692;High
Legion;2019-06-14;Orb of Alteration;Chaos Orb;0.1;High
Legion;2019-06-15;Orb of Alteration;Chaos Orb;0.09505;High
Legion;2019-06-16;Orb of Alteration;Chaos Orb;0.09109;High
Legion;2019-06-17;Orb of Alteration;Chaos Orb;0.11199;High
Legion;2019-06-18;Orb of Alteration;Chaos Orb;0.15385;High
Legion;2019-06-19;Orb of Alteration;Chaos Orb;0.16393;High
Legion;2019-06-20;Orb of Alteration;Chaos Orb;0.16667;High
Legion;2019-06-21;Orb of Alteration;Chaos Orb;0.16667;High
Legion;2019-06-22;Orb of Alteration;Chaos Orb;0.15385;High
Legion;2019-06-23;Orb of Alteration;Chaos Orb;0.14286;High
Legion;2019-06-24;Orb of Alteration;Chaos Orb;0.1418;High
Legion;2019-06-25;Orb of Alteration;Chaos Orb;0.15385;High
Legion;2019-06-26;Orb of Alteration;Chaos Orb;0.16393;High
Legion;2019-06-27;Orb of Alteration;Chaos Orb;0.16667;High
Legion;2019-06-28;Orb of Alteration;Chaos Orb;0.19019;High
Legion;2019-06-29;Orb of Alteration;Chaos Orb;0.20354;High
Legion;2019-06-30;Orb of Alteration;Chaos Orb;0.2087;High
Legion;2019-07-01;Orb of Alteration;Chaos Orb;0.20833;High
Legion;2019-07-02;Orb of Alteration;Chaos Orb;0.2;High
Legion;2019-07-03;Orb of Alteration;Chaos Orb;0.20882;High
Legion;2019-07-04;Orb of Alteration;Chaos Orb;0.21022;High
Legion;2019-07-05;Orb of Alteration;Chaos Orb;0.21054;High
Legion;2019-07-06;Orb of Alteration;Chaos Orb;0.22222;High
Legion;2019-07-07;Orb of Alteration;Chaos Orb;0.22222;High
Legion;2019-07-08;Orb of Alteration;Chaos Orb;0.22918;High
Legion;2019-07-09;Orb of Alteration;Chaos Orb;0.253;High
Legion;2019-07-10;Orb of Alteration;Chaos Orb;0.28479;High
Legion;2019-07-11;Orb of Alteration;Chaos Orb;0.28571;High
Legion;2019-07-12;Orb of Alteration;Chaos Orb;0.29412;High
Legion;2019-07-13;Orb of Alteration;Chaos Orb;0.30189;High
Legion;2019-07-14;Orb of Alteration;Chaos Orb;0.27915;High
Legion;2019-07-15;Orb of Alteration;Chaos Orb;0.26588;High
Legion;2019-07-16;Orb of Alteration;Chaos Orb;0.25;High
Legion;2019-07-17;Orb of Alteration;Chaos Orb;0.2439;High
Legion;2019-07-18;Orb of Alteration;Chaos Orb;0.2381;High
Legion;2019-07-19;Orb of Alteration;Chaos Orb;0.23439;High
